15.488 230.31  4.42 0.384
10.411 203.50  1.24 0.107
10.681 213.42  3.47 0.090
13.803 232.22  3.48 0.214
10.866 208.96  1.94 0.068
 9.007 235.20  3.16 0.035
13.479 210.81  3.63 0.215
15.112 206.65  3.42 0.336
11.877 226.22  1.97 0.126
13.448 225.09  3.91 0.219
13.357 230.89  6.36 0.264
10.757 220.66  5.64 0.104
10.493 226.84  5.29 0.065
 9.707 221.24  1.16 0.051
 8.851 237.74  2.38 0.017
10.029 190.13  4.91 0.135
13.736 217.78  4.78 0.243
12.091 225.19  2.66 0.158
13.455 233.96  5.04 0.280
12.664 186.44  4.66 0.222
15.543 203.42  4.34 0.409
10.928 232.51  4.12 0.102
10.404 220.05  2.79 0.090
 8.232 236.49  1.07 0.006
11.024 225.28  5.02 0.146
10.845 233.04  2.25 0.089
14.688 220.86  3.99 0.279
11.278 237.45  3.40 0.094
10.043 234.59  1.76 0.046
10.591 229.74  4.38 0.105
 8.717 229.10  1.13 0.021
12.602 220.39  2.15 0.159
13.154 214.35  2.87 0.130
15.249 213.76  5.68 0.338
13.699 220.70  5.30 0.284
14.606 214.09  4.26 0.318
13.329 209.04  2.54 0.205
 9.424 218.52  3.93 0.056
 9.722 229.25  3.80 0.048
13.536 217.15  4.62 0.179
10.291 213.01  4.93 0.091
10.393 220.16  1.77 0.086
13.280 220.29  3.96 0.153
10.404 222.85  3.12 0.069
 9.431 235.58  1.62 0.042
10.924 223.37  3.93 0.124
13.265 201.63  4.92 0.226
 8.388 241.29  3.79 0.011
10.234 215.96  6.59 0.060
10.871 228.03  3.09 0.115
10.429 228.91  3.64 0.072
12.718 247.09  6.90 0.344
10.701 212.28  6.48 0.124
13.469 221.15  3.70 0.240
10.449 223.88  3.65 0.084
11.149 235.76  4.02 0.122
10.186 212.83  3.79 0.066
13.651 216.50  3.99 0.245
 9.818 215.64  2.52 0.063
10.886 230.17  3.31 0.086
11.489 228.86  3.38 0.130
 9.373 223.91  3.62 0.052
10.110 227.34  4.35 0.077
 8.344 242.29  2.99 0.012
 9.317 221.54  2.76 0.047
 8.211 222.03  1.95 0.005
 8.639 237.17  3.22 0.018
 8.752 235.68  4.22 0.029
11.660 212.73  4.67 0.161
15.839 234.49  6.43 0.405
10.536 202.77  4.78 0.105
10.397 222.80  4.69 0.076
10.211 218.12  3.91 0.082
 9.422 221.08  3.21 0.068
 8.067 219.89  2.99 0.002
 9.762 216.53  5.56 0.061
 8.813 226.06  5.20 0.023
 9.707 234.53  2.49 0.059
10.073 240.45  4.75 0.066
10.704 239.43  4.31 0.079
 9.833 220.34  2.16 0.055
10.064 217.06  3.63 0.089
 8.484 223.38  1.80 0.011
 9.527 225.67  2.67 0.037
13.321 240.72 38.14 0.304
 8.243 250.08  3.83 0.008
 8.783 193.25  1.28 0.022
11.793 232.60  5.27 0.190
 8.671 240.87  3.72 0.022
 9.198 224.27  6.45 0.038
 8.957 217.84  8.14 0.034
 8.648 233.79  1.88 0.029
 9.416 212.29  2.44 0.058
 8.505 231.53  4.43 0.019
 8.311 252.79  7.17 0.012
10.436 192.35  6.25 0.130
10.014 219.36  4.47 0.098
10.031 224.45  4.37 0.086
 9.547 223.51  5.82 0.052
 9.187 217.45  2.17 0.035
10.610 238.16  7.45 0.105
12.944 194.95  7.83 0.331
 8.755 230.93  6.03 0.024
 8.452 219.67 15.76 0.029
 8.112 238.58  2.49 0.003
 9.173 244.96  3.54 0.072
 8.795 229.41  6.03 0.033
 9.658 215.40  4.42 0.104
 8.787 216.53  5.40 0.029
 8.335 224.22  4.09 0.016
 9.688 183.24  3.89 0.095
 8.507 225.57  6.04 0.028
19.530 256.11 14.56 0.995
 9.010 227.17  4.01 0.038
 8.903 235.79  6.23 0.037
 9.161 218.50  2.73 0.079
10.692 235.56  3.53 0.094
10.331 213.47  4.77 0.112
 8.037 256.71  2.74 0.000
 9.495 191.83  2.51 0.059
11.168 183.43  4.43 0.176
 8.531 216.54  3.32 0.024
 8.479 261.92  3.89 0.032
 8.685 220.94  4.77 0.029
 8.611 231.60  3.83 0.027
 8.464 214.10  7.01 0.022
 8.231 217.06  7.79 0.013
 8.418 240.25  3.04 0.019
 8.877 257.36  4.47 0.047
 8.584 231.14 12.53 0.030
 9.441 224.54  3.30 0.080
 8.571 231.32  1.52 0.023
 8.173 231.60  7.19 0.010
 8.389 256.75  1.83 0.021
 8.770 235.48  3.51 0.040
 8.822 233.01  4.79 0.066
 8.170 229.83 11.39 0.024
10.800 215.37  6.55 0.207
10.070 215.07  8.15 0.103
 8.594 239.21  3.79 0.032
 7.946 208.03  5.81 0.005
 8.867 209.34 10.71 0.047
 8.711 208.25  1.89 0.034
 7.832 220.69  1.31 0.005
 8.189 232.36  3.77 0.018
 7.921 218.79  3.73 0.004
 7.887 232.84  1.26 0.002
 8.184 226.04 10.27 0.021
 7.911 256.63 16.09 0.005
 9.343 221.28  5.89 0.095
 8.471 234.28  6.38 0.050
 8.612 217.10  8.88 0.078
 8.293 219.47  4.69 0.046
